Companion Pulsar,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
J0024-7204C,1636148068921376768,Gaia DR3 4689638064248154240,4689638064248154240,411032629,2016.0,5.960403740672885,43.58396530151367,-72.07517791487159,73.64408111572266,,,,,,,,,0.3949248194694519,,,,,,,,,,48,0,48,0,422.73223876953125,1329263.25,171.86521911621094,143333.5,3,False,,,,,,,,,6,5,31.538349151611328,6,2,0,0.21980388462543488,21.061569213867188,16,16,,0.15384329855442047,0.3281300961971283,0.3961697220802307,0.6914988160133362,118.9472885131836,-77.21686553955078,27.165502548217773,-43.95054244995117,False,35,2731.6663082015093,37.7116813659668,72.435546875,17.096298217773438,2,6078.366060343639,647.9795532226562,9.38049030303955,15.879075050354004,2,6615.706590475014,111.37528228759766,59.40013122558594,15.196455001831055,4.647006988525391,0,2,0,2,0,0.6826200485229492,-1.2172231674194336,1.8998432159423828,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.9232491374621,-44.89244378597212,311.24173833761307,-62.33300248101193,False,True,0,False,False,False,False,False,False,False,False,0.07399622350931168,0.9156616926193237,0.0,,,,,,,,,,,,,,,,,,,,,,,0.00030890781245709853
J0024-7204C,1636148068921376768,Gaia DR3 4689638064246301952,4689638064246301952,91673636,2016.0,5.962051970915898,1.2569080591201782,-72.07546548346713,1.7014493942260742,,,,,,,,,-0.3597125709056854,,,,,,,,,,62,0,62,0,43.101253509521484,2857.598876953125,5.14744234085083,256.6359558105469,3,False,,,,,,,,,7,6,7.432300090789795,8,5,1,0.20512323081493378,52.00172424316406,40,37,,0.23154069483280182,0.42681053280830383,0.46364447474479675,0.633588969707489,157.7575225830078,-75.64231872558594,13.06099796295166,42.95927429199219,False,56,2838.430970943053,39.13919448852539,72.52144622802734,17.054670333862305,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.9224800433292,-44.89223605010557,311.24178253735084,-62.33358523081535,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006871520947334685
J0024-7204J,1636148068921376768,Gaia DR3 4689639537419422848,4689639537419422848,939971413,2016.0,5.996517058428933,0.07493206113576889,-72.06659358056072,0.06702902913093567,0.17697287745273105,0.07195712625980377,2.459421157836914,5.77498722076416,5.182653373965682,0.09654045850038528,-2.5476619487438388,0.09355373680591583,0.1684192270040512,0.1489010751247406,-0.2597486674785614,0.19040507078170776,0.17382493615150452,0.2253788411617279,0.23256056010723114,0.1882174015045166,0.15630367398262024,0.2768874168395996,127,47,127,0,23.85284423828125,2023.23486328125,0.49522775411605835,122.21600341796875,95,False,,1.4348982572555542,0.01573469117283821,0.005942932330071926,-0.17086897790431976,-0.13048115372657776,0.00898840744048357,-0.11676496267318726,18,13,0.15057936310768127,25,9,0,0.020658737048506737,16.362186431884766,51,0,2.8717610836029053,,,,,,,,,False,103,126521.86876662298,228.58074951171875,553.5106201171875,12.931952476501465,21,66494.75634513794,1158.6309814453125,57.39079666137695,13.281573295593262,20,123722.5552964101,1479.5823974609375,83.61991882324219,12.016773223876953,1.5034343004226685,4,15,6,14,0,1.2648000717163086,0.3496208190917969,0.9151792526245117,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.9095581323365,-44.90260372010573,311.27002520289744,-62.33798193209205,False,False,0,False,False,False,False,False,True,True,False,1.0204576577190275e-13,4.783088369819666e-10,0.9999977946281433,5097.94970703125,5065.7666015625,5126.8349609375,2.679800033569336,2.5820999145507812,2.767899990081787,-0.7732999920845032,-0.8378999829292297,-0.7017999887466431,2277.62744140625,2074.500732421875,2530.093017578125,0.7289000153541565,0.7013000249862671,0.7545999884605408,0.5770999789237976,0.5547999739646912,0.5981000065803528,0.31189998984336853,0.299699991941452,0.32350000739097595,MARCS,0.0004024003864205447
J0024-7204J,1636148068921376768,Gaia DR3 4689639541716237824,4689639541716237824,13183186,2016.0,5.99781697309582,2.020885467529297,-72.06708170468107,3.0701744556427,,,,,,,,,0.1680344045162201,,,,,,,,,,59,0,54,5,82.92003631591797,13957.0185546875,11.110060691833496,3227.983642578125,3,False,,,,,,,,,8,7,7.675326347351074,17,8,0,0.16899769008159637,1.9904004335403442,60,0,,0.37511274218559265,0.5119158625602722,0.3397636115550995,0.31312015652656555,-82.96385955810547,-85.36305236816406,29.912342071533203,-43.24053955078125,False,59,4727.148960320107,125.90770721435547,37.5445556640625,16.50086784362793,2,31426.4844140223,1200.181396484375,26.184778213500977,14.09530258178711,3,26989.16005218249,6912.384765625,3.9044644832611084,13.669921875,12.357479095458984,1,1,1,2,0,0.4253807067871094,-2.4055652618408203,2.8309459686279297,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.90889599420046,-44.90218121863778,311.26958045071825,-62.33857845144884,False,False,0,False,False,False,False,False,False,False,False,0.0004993064212612808,0.0007320441654883325,0.9987330436706543,,,,,,,,,,,,,,,,,,,,,,,0.0007418416918726448
J0024-7204M,1636148068921376768,Gaia DR3 4689637789376096768,4689637789376096768,1677862143,2016.0,5.977172149194094,0.1375129222869873,-72.09250323794508,0.14586995542049408,-0.511796795648824,0.15959909558296204,-3.2067649364471436,4.434410572052002,4.037837479268974,0.18132056295871735,-1.8329940033313434,0.19972868263721466,-0.14035016298294067,0.06926805526018143,-0.3463252782821655,0.08790595829486847,-0.1754498928785324,0.17489956319332123,-0.34928828477859497,-0.2289360761642456,-0.18196286261081696,-0.24550288915634155,150,0,150,0,41.30181121826172,2811.01953125,1.078709602355957,141.7913818359375,95,False,,1.4607691764831543,0.038028787821531296,-0.09194888174533844,0.16404923796653748,0.08930761367082596,0.2074146270751953,-0.15741512179374695,17,12,0.3039470613002777,24,21,0,0.01964704506099224,22.959115982055664,31,33,4.243135452270508,0.37498027086257935,0.09564049541950226,0.09668068587779999,0.21841587126255035,42.154605865478516,49.79351806640625,42.808719635009766,35.96065902709961,False,122,20554.490698664005,142.27735900878906,144.46774291992188,14.905099868774414,6,24736.76076815328,2787.346435546875,8.874663352966309,14.355185508728027,6,41415.1260940932,5519.84228515625,7.502954483032227,13.204998016357422,3.2183666229248047,0,6,0,6,0,1.1501874923706055,-0.5499143600463867,1.7001018524169922,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.91236692153007,-44.876093703323676,311.21574680395196,-62.34646307011365,False,False,0,False,False,False,False,False,False,True,False,9.937042300123267e-10,1.704766532384383e-06,0.9999970197677612,,,,,,,,,,,,,,,,,,,,,,,0.0006208092467050552
J0024-7204M,1636148068921376768,Gaia DR3 4689637789368641920,4689637789368641920,976796020,2016.0,5.978537927467999,0.1723923683166504,-72.09238696236221,0.17913304269313812,0.659011607824814,0.19242574274539948,3.424757957458496,6.166289329528809,6.166184722313611,0.25406506657600403,0.0359440751006257,0.21754683554172516,-0.25317588448524475,0.24976228177547455,0.42228686809539795,-0.07345663011074066,-0.2052844911813736,-0.11627468466758728,-0.36423996090888977,-0.051927343010902405,0.23950961232185364,-0.2395743727684021,108,0,108,0,50.19339370727539,4169.1064453125,1.0864700078964233,278.7812194824219,95,False,,1.5396171808242798,0.044139549136161804,0.1278531700372696,0.037259962409734726,0.22126491367816925,0.1554764211177826,0.13294950127601624,13,10,0.3775234818458557,21,15,0,0.05507253482937813,19.31548309326172,61,0,6.1058502197265625,0.4238787591457367,0.2166830450296402,0.3384424149990082,0.3560563027858734,42.17987823486328,53.025630950927734,41.099708557128906,29.05978775024414,False,127,38673.98486211897,173.06015014648438,223.4713592529297,14.218819618225098,19,29496.889497641063,772.2501831054688,38.19602966308594,14.164101600646973,19,46897.653675828806,1135.3775634765625,41.30577850341797,13.07001781463623,1.9753470420837402,0,19,0,19,0,1.0940837860107422,-0.054718017578125,1.1488018035888672,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.91180573873663,-44.87627185037496,311.21643349111713,-62.3467602338052,False,False,0,False,False,False,False,False,False,True,False,2.1745302780651343e-10,2.1308343534087726e-08,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0006798971417202201
J0024-7204M,1636148068921376768,Gaia DR3 4689637789376090880,4689637789376090880,443639251,2016.0,5.974927026344344,0.08193836361169815,-72.09143741115646,0.1058802530169487,0.31569954531103483,0.10059844702482224,3.1382148265838623,6.5599565505981445,5.906274059707696,0.10170789062976837,-2.854637347030836,0.10084281116724014,-0.14088886976242065,0.10703354328870773,-0.1477600336074829,-0.15318982303142548,-0.30817726254463196,-0.13482090830802917,-0.023644715547561646,0.21607965230941772,-0.24076588451862335,-0.3988645374774933,111,0,110,1,10.516977310180664,367.08685302734375,0.49588751792907715,14.925156593322754,95,False,,1.4495320320129395,0.02815280109643936,-0.023812802508473396,0.4191836416721344,-0.03781425952911377,0.20217718183994293,-0.10864075273275375,13,9,0.16731277108192444,18,14,0,0.08652973175048828,168.87448120117188,45,37,1.80782151222229,0.625336229801178,0.21566694974899292,0.38141727447509766,0.16644738614559174,14.92778491973877,61.51044845581055,53.3491325378418,19.32783317565918,False,109,11565.551011143267,122.71764373779297,94.2452163696289,15.529451370239258,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.91355642870917,-44.877043472705246,311.2169263753599,-62.34531727701342,False,False,0,False,False,False,False,False,False,True,False,1.4296862360652085e-08,3.869692761782062e-07,0.9999916553497314,,,,,,,,,,,,,,,,,,,,,,,0.0007911373939362869
J0024-7204U,1636148068921376768,Gaia DR3 4689639472995311744,4689639472995311744,1562045958,2016.0,6.040678316730604,0.2631104588508606,-72.06665660332085,0.2232659012079239,,,,,,,,,0.08443931490182877,,,,,,,,,,37,0,37,0,3.6252870559692383,69.52213287353516,0.3329504728317261,1.1207048892974854,3,False,,,,,,,,,5,5,0.672621488571167,8,5,0,0.15661966800689697,33.18036651611328,33,33,,0.3460671603679657,0.11045465618371964,0.4872688949108124,0.17887750267982483,-129.09445190429688,-57.47700500488281,28.44110870361328,1.8577653169631958,False,30,3344.6607553477843,138.8042755126953,24.096237182617188,16.87648582458496,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.8905632318208,-44.90457654235681,311.2852347718606,-62.34960355701208,False,False,0,False,False,False,False,False,False,False,False,0.0005954445223324001,0.0010267291218042374,0.9981985092163086,,,,,,,,,,,,,,,,,,,,,,,0.00011532430412239424
J0024-7204U,1636148068921376768,Gaia DR3 4689639472995311872,4689639472995311872,1747389311,2016.0,6.039457264963807,0.07884657382965088,-72.06645715045819,0.06854269653558731,,,,,,,,,0.36857345700263977,,,,,,,,,,62,0,59,3,4.589795112609863,116.00756072998047,0.21617990732192993,10.430153846740723,3,False,,,,,,,,,8,8,0.16142991185188293,16,10,0,0.06862801313400269,25.894622802734375,23,0,,0.19469033181667328,0.12414916604757309,0.5715572834014893,0.01201501116156578,-147.89410400390625,-41.364990234375,4.573029041290283,15.481719017028809,False,82,68186.4280895877,200.54110717773438,340.0122375488281,13.603121757507324,11,40995.31814552766,598.7169189453125,68.47195434570312,13.806706428527832,11,69180.84013549985,631.580322265625,109.53609466552734,12.647931098937988,1.6158077716827393,0,11,0,11,0,1.1587753295898438,0.2035846710205078,0.9551906585693359,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.89113013398435,-44.9047176660451,311.2851774504734,-62.34917878398609,False,False,0,False,False,False,False,False,False,False,False,6.295047816351484e-11,1.2104806046409067e-09,0.9999995827674866,,,,,,,,,,,,,,,,,,,,,,,0.0004929977155416605
J0024-7204U,1636148068921376768,Gaia DR3 4689639473004140416,4689639473004140416,834747047,2016.0,6.039909356941068,0.05193421617150307,-72.06713575119741,0.05385224521160126,0.1295231106754405,0.0779549777507782,1.661511778831482,5.550323963165283,4.952089140402556,0.07161246240139008,-2.5065731582460042,0.12408280372619629,0.0035132155753672123,0.45652520656585693,0.1991228610277176,0.2997363209724426,0.1358187049627304,-0.01260940171778202,0.33573392033576965,0.14096425473690033,0.706243634223938,0.06944681704044342,104,0,101,3,4.087707042694092,175.64381408691406,0.23130980134010315,6.564080715179443,95,False,,1.4612103700637817,0.01187047641724348,0.024417268112301826,0.03875388950109482,-0.024730809032917023,0.12495514750480652,0.06420546770095825,13,12,0.17808468639850616,18,9,0,0.06376365572214127,58.00840759277344,50,0,1.3069223165512085,0.12649039924144745,0.07900495827198029,0.34496212005615234,0.11651349067687988,171.8306427001953,74.34988403320312,30.05990219116211,-30.163475036621094,False,96,20042.556245642034,164.24526977539062,122.02820587158203,14.932483673095703,7,21447.431665945478,965.79833984375,22.206945419311523,14.510104179382324,7,32100.589586846017,1382.3065185546875,23.222482681274414,13.481613159179688,2.6717162132263184,0,7,0,7,0,1.0284910202026367,-0.4223794937133789,1.4508705139160156,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.8907928427019,-44.904067432373424,311.284087915475,-62.349652297638066,False,False,0,False,False,False,False,False,False,True,False,1.6302317273897415e-09,1.899826656881487e-06,0.9999980926513672,,,,,,,,,,,,,,,,,,,,,,,0.000635797394906537
