Companion Pulsar;source_id;ra;ra_error;dec;dec_error;parallax;parallax_error;pm;pmra;pmra_error;pmdec;pmdec_error;ra_dec_corr;ra_parallax_corr;ra_pmra_corr;matched_transits_removed;rv_method_used;rv_nb_transits;rv_nb_deblended_transits;rv_expected_sig_to_noise;rv_renormalised_gof;rv_chisq_pvalue;rv_time_duration;rv_amplitude_robust;rv_template_teff;rv_template_logg;rv_template_fe_h;rv_atm_param_origin;vbroad;vbroad_error;vbroad_nb_transits;grvs_mag;grvs_mag_error;grvs_mag_nb_transits;rvs_spec_sig_to_noise;phot_variable_flag;l;b;ecl_lon;ecl_lat;in_qso_candidates;in_galaxy_candidates;non_single_star;has_xp_continuous;has_xp_sampled;has_rvs;has_epoch_photometry;has_epoch_rv;has_mcmc_gspphot;has_mcmc_msc;in_andromeda_survey;classprob_dsc_combmod_quasar;classprob_dsc_combmod_galaxy;classprob_dsc_combmod_star;teff_gspphot;teff_gspphot_lower;teff_gspphot_upper;logg_gspphot;logg_gspphot_lower;logg_gspphot_upper;mh_gspphot;mh_gspphot_lower;mh_gspphot_upper;distance_gspphot;distance_gspphot_lower;distance_gspphot_upper;azero_gspphot;azero_gspphot_lower;azero_gspphot_upper;ag_gspphot;ag_gspphot_lower;ag_gspphot_upper;ebpminrp_gspphot;ebpminrp_gspphot_lower;ebpminrp_gspphot_upper;libname_gspphot
J0024-7204J;4689639537419422848;5.996517058428933;0.07493206113576889;-72.06659358056072;0.06702902913093567;0.17697287745273105;0.07195712625980377;5.77498722076416;5.182653373965682;0.09654045850038528;-2.5476619487438388;0.09355373680591583;0.1684192270040512;0.1489010751247406;-0.2597486674785614;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;305.9095581323365;-44.90260372010573;311.27002520289744;-62.33798193209205;False;False;0;False;False;False;False;False;True;True;False;1.0204576577190275e-13;4.783088369819666e-10;0.9999977946281433;5097.94970703125;5065.7666015625;5126.8349609375;2.679800033569336;2.5820999145507812;2.767899990081787;-0.7732999920845032;-0.8378999829292297;-0.7017999887466431;2277.62744140625;2074.500732421875;2530.093017578125;0.7289000153541565;0.7013000249862671;0.7545999884605408;0.5770999789237976;0.5547999739646912;0.5981000065803528;0.31189998984336853;0.299699991941452;0.32350000739097595;MARCS
J0024-7204U;4689639472995311744;6.040678316730604;0.2631104588508606;-72.06665660332085;0.2232659012079239;;;;;;;;0.08443931490182877;;;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;305.8905632318208;-44.90457654235681;311.2852347718606;-62.34960355701208;False;False;0;False;False;False;False;False;False;False;False;0.0005954445223324001;0.0010267291218042374;0.9981985092163086;;;;;;;;;;;;;;;;;;;;;;
J0024-7204U;4689639472995311872;6.039457264963807;0.07884657382965088;-72.06645715045819;0.06854269653558731;;;;;;;;0.36857345700263977;;;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;305.89113013398435;-44.9047176660451;311.2851774504734;-62.34917878398609;False;False;0;False;False;False;False;False;False;False;False;6.295047816351484e-11;1.2104806046409067e-09;0.9999995827674866;;;;;;;;;;;;;;;;;;;;;;
J0024-7204X;4689640499510892032;6.094571771034069;0.4005962312221527;-72.02140251915394;0.3029884696006775;1.2120733654985103;0.36940717697143555;11.591519355773926;11.473854957534481;0.5442965626716614;-1.6474150337106315;0.4104008972644806;-0.48100006580352783;-0.21302485466003418;0.7492535710334778;2;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;305.87685918012664;-44.951797732054274;311.38705250651617;-62.34008501459538;False;False;0;False;False;False;False;False;False;True;False;8.457012154394761e-05;0.07211923599243164;0.9277961850166321;;;;;;;;;;;;;;;;;;;;;;
J0337+1715;44308738051547264;54.43261340914772;0.1363241970539093;17.254115461920154;0.1413089781999588;0.5416920661382117;0.195136159658432;7.045334815979004;5.480495136987953;0.18847954273223877;-4.427292334782167;0.16294538974761963;0.3506767451763153;-0.00954712275415659;-0.14994513988494873;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;169.98968977586804;-30.039484153884825;56.229872974243634;-2.1129289474454396;False;False;0;False;False;False;False;False;True;True;False;1.0391625846492905e-13;3.64107181904938e-12;0.9999266266822815;9714.267578125;9667.3134765625;9762.3671875;4.63640022277832;4.633699893951416;4.638500213623047;-2.1410999298095703;-2.1749000549316406;-2.0817999839782715;10929.419921875;10855.6416015625;10999.3388671875;0.003100000089034438;0.0007999999797903001;0.007499999832361937;0.002899999963119626;0.0007999999797903001;0.007199999876320362;0.0015999999595806003;0.00039999998989515007;0.003800000064074993;PHOENIX
J0348+0432;3273288485744249344;57.18183331779655;0.6954769492149353;4.5365161957787254;0.6465485095977783;-0.03510799409612238;0.7840948700904846;3.4456067085266113;3.4381852148165697;1.345002293586731;-0.22602818895594637;0.8866667151451111;0.2525109350681305;0.11260667443275452;-0.07684917747974396;3;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;183.33683961310373;-36.77362431748332;55.97015845427447;-15.11010308883243;False;False;0;False;False;False;False;False;False;False;False;0.00731457956135273;5.77237259727359e-13;0.9926849603652954;;;;;;;;;;;;;;;;;;;;;;
J0613-0200;3118031705827298944;93.43331615915669;0.04215262830257416;-2.0136586814890336;0.04654569551348686;0.45932777893001236;0.03909343481063843;2.7817542552948;2.7808324468506567;0.06760650873184204;-0.07160965183868867;0.062189389020204544;-0.5957016944885254;-0.16984903812408447;-0.6783225536346436;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;210.41357260050202;-9.305080534050516;93.79913273276681;-25.407672643534625;False;False;0;True;False;False;False;False;True;True;False;1.0208371284793974e-13;5.099050522094917e-13;0.9999939203262329;6331.9921875;6258.5263671875;6394.50439453125;4.196400165557861;4.148799896240234;4.2418999671936035;-0.9401000142097473;-0.9879000186920166;-0.8968999981880188;1439.0079345703125;1384.0457763671875;1507.6138916015625;1.0616999864578247;1.0166000127792358;1.0930999517440796;0.8873999714851379;0.8486999869346619;0.9146999716758728;0.4860000014305115;0.46540001034736633;0.5008999705314636;A
J1012+5307;851610861391010944;153.13933086796624;0.2042589783668518;53.11725939018486;0.20397721230983734;1.7447569177332496;0.29057663679122925;26.065160751342773;2.7364450992406075;0.29184460639953613;-25.921120753058773;0.27057087421417236;-0.049517836421728134;-0.13588577508926392;0.1746152639389038;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;160.3472039641611;50.85785720019549;133.3611355636977;38.7552835930104;False;False;0;False;False;False;False;False;False;False;False;0.0010191148612648249;1.090466383857347e-07;0.9989075660705566;;;;;;;;;;;;;;;;;;;;;;
J1023+0038;3831382647922429952;155.94870458335123;0.057949818670749664;0.6446470547528212;0.05493738129734993;0.6861708101572905;0.07056035846471786;17.88532829284668;4.609895324338583;0.07148280739784241;-17.281024260717615;0.07716389000415802;-0.3490200340747833;-0.5460290312767029;-0.24097973108291626;0;;;;;;;;;;;;;;;;;;;;VARIABLE;243.4895915647394;45.78224492606224;157.4921121226626;-8.730257523325635;False;False;0;False;False;False;True;False;True;True;False;1.3214784644333122e-07;7.1538481805077936e-09;0.9999877214431763;5965.638671875;5961.6083984375;5977.732421875;4.654200077056885;4.638599872589111;4.668799877166748;-4.119100093841553;-4.141499996185303;-4.080900192260742;1417.91259765625;1400.0479736328125;1436.7054443359375;0.007400000002235174;0.0020000000949949026;0.016200000420212746;0.006300000008195639;0.0017000000225380063;0.013799999840557575;0.0035000001080334187;0.0008999999845400453;0.007699999958276749;MARCS
J1125-6014;5336020987242787328;171.48058601542377;0.3292391896247864;-60.23524507098851;0.28804585337638855;0.23567878337619225;0.3910151720046997;6.363692283630371;-6.272741505193303;0.44767916202545166;1.0720498229361572;0.3553544580936432;-0.003283855738118291;0.08234871178865433;-0.09203481674194336;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;292.5044205644322;0.8937069452223901;209.50438616496518;-55.65891940363221;False;False;0;False;False;False;False;False;False;False;False;2.5304988326979583e-08;7.492784170892719e-09;0.9999972581863403;;;;;;;;;;;;;;;;;;;;;;
