#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;POSEPOCH;;BINARY;;BINCOMP;;
;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(MJD);;(type);;;;
1;J0002+6216;cwp+17;00:02:58.17;2.0e-02;cwp+17;+62:16:09.4;1.0e-01;cwp+17;*;0;*;*;0;*;55806;cwp+17;*;*;*;*;
2;J0006+1834;cnt96;00:06:04.8;2.0e-01;cn95;+18:34:59;4.0e+00;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
3;J0007+7303;aaa+09c;00:07:01.7;2.0e-01;awd+12;+73:03:07.4;8.0e-01;awd+12;*;0;*;*;0;*;54952.00;*;*;*;*;*;
4;J0011+08;dsm+16;00:11:34;1.1e+02;dsm+16;+08:10;8.0e+00;dsm+16;*;0;*;*;0;*;57022.00;*;*;*;*;*;
5;J0012+5431;dcm+23;00:12:23.3;1.0e-01;dcm+23;+54:31:47;3.0e+00;dcm+23;*;0;*;*;0;*;58912.00;*;*;*;*;*;
6;J0014+4746;dth78;00:14:17.75;4.0e-02;hlk+04;+47:46:33.4;3.0e-01;hlk+04;19.3;1.8e+00;bfg+03;-19.7;1.5e+00;bfg+03;49664.00;hlk+04;*;*;*;*;
7;J0021-0909;clh+20;00:21:51.47;3.0e-02;clh+20;-09:09:58.7;1.1e+00;clh+20;*;0;*;*;0;*;58388.00;*;*;*;*;*;
8;J0023+0923;hrm+11;00:23:16.877498;7.0e-06;aab+21a;+09:23:23.8604;2.3e-04;aab+21a;-12.44;7.0e-02;*;-6.16;1.6e-01;*;56845.00;aab+21a;ELL1;aab+21a;UL[hrm+11];*;
9;J0024-7204aa;phl+16;00:24:05.67;0;mam+06;-72:04:52.62;0;mam+06;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;57022.00;*;*;*;*;*;
10;J0024-7204ab;phl+16;00:24:08.1615;5.0e-04;frk+17;-72:04:47.602;2.0e-03;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
11;J0024-7204ac;rgf+21;00:24:05.67;0;har10a;-72:04:05;0;har10a;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;*;*;BT;rgf+21;UL(?)[rgf+21];*;
12;J0024-7204ad;rgf+21;00:24:05.67;0;har10a;-72:04:05;0;har10a;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;*;*;BT;rgf+21;MS(?)[rgf+21];*;
13;J0024-7204C;mld+90;00:23:50.3546;1.0e-04;frk+17;-72:04:31.5048;4.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
14;J0024-7204D;mlr+91;00:24:13.88092;6.0e-05;frk+17;-72:04:43.8524;2.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
15;J0024-7204E;mlr+91;00:24:11.10528;5.0e-05;frk+17;-72:05:20.1492;2.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;DD;frk+17;*;*;
16;J0024-7204F;mlr+91;00:24:03.85547;1.0e-04;frk+17;-72:04:42.8183;2.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
17;J0024-7204G;rlm+95;00:24:07.9603;1.0e-04;frk+17;-72:04:39.7030;5.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
18;J0024-7204H;mlr+91;00:24:06.7032;2.0e-04;frk+17;-72:04:06.8067;6.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;DD;frk+17;He[fck+03];*;
19;J0024-7204I;mlr+91;00:24:07.9347;2.0e-04;frk+17;-72:04:39.6815;7.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;ELL1;frk+17;UL[fck+03];*;
20;J0024-7204J;mlr+91;00:23:59.4077;1.0e-04;frk+17;-72:03:58.7908;5.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;BTX;frk+17;UL[fck+03];*;
21;J0024-7204L;rlm+95;00:24:03.7721;3.0e-04;frk+17;-72:04:56.923;2.0e-03;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
22;J0024-7204M;mlr+91;00:23:54.4899;3.0e-04;frk+17;-72:05:30.756;2.0e-03;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
23;J0024-7204N;rlm+95;00:24:09.1880;2.0e-04;frk+17;-72:04:28.8907;7.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
24;J0024-7204O;clf+00;00:24:04.65254;6.0e-05;frk+17;-72:04:53.7670;2.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;BTX;frk+17;UL[fck+03];*;
25;J0024-7204P;clf+00;00:24:20;2.9e+01;rft+16;-72:04:10;6.2e+01;rft+16;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51000.00;*;BT;*;UL[clf+00];*;
26;J0024-7204Q;clf+00;00:24:16.4909;1.0e-04;frk+17;-72:04:25.1644;6.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;ELL1;frk+17;He[rvh+15];*;
27;J0024-7204R;clf+00;00:24:07.5851;2.0e-04;frk+17;-72:04:50.3954;5.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;ELL1;frk+17;UL[clf+00];*;
28;J0024-7204S;clf+00;00:24:03.9794;1.0e-04;frk+17;-72:04:42.3530;4.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;ELL1;frk+17;He[rvh+15];*;
29;J0024-7204T;clf+00;00:24:08.5491;5.0e-04;frk+17;-72:04:38.932;3.0e-03;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;ELL1;frk+17;He[cpf+15];*;
30;J0024-7204U;clf+00;00:24:09.8366;1.0e-04;frk+17;-72:03:59.6882;4.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;ELL1;frk+17;He[egh+01];*;
31;J0024-7204V;clf+00;00:24:05.67;0;mam+06;-72:04:52.62;0;mam+06;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51000.00;*;BTX;rft+16;*;*;
32;J0024-7204W;clf+00;00:24:06.058;1.0e-03;rft+16;-72:04:49.088;2.0e-03;rft+16;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;50000;rft+16;BTX;rft+16;MS[egc+02];*;
33;J0024-7204X;fre08;00:24:22.38565;9.0e-05;rft+16;-72:01:17.4414;7.0e-04;rft+16;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;54000;rft+16;ELL1;rft+16;*;*;
34;J0024-7204Y;frk+17;00:24:01.4026;1.0e-04;frk+17;-72:04:41.8363;4.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;ELL1;frk+17;He[cpf+15];*;
35;J0024-7204Z;frk+17;00:24:06.041;2.0e-03;frk+17;-72:05:01.480;6.0e-03;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;51600;frk+17;*;*;*;*;
36;J0026-1955;mss+20;00:26:36;0;mbs+22;-19:55:59;0;mbs+22;*;0;*;*;0;*;58880.50;*;*;*;*;*;
37;J0026+6320;jml+09;00:26:50.561;8.0e-03;jml+09;+63:20:00.87;5.0e-02;jml+09;*;0;*;*;0;*;56675.00;*;*;*;*;*;
38;J0030+0451;lzb+00;00:30:27.42750;3.8e-05;aab+21a;+04:51:39.7116;1.3e-03;aab+21a;-6.33;1.2e-01;*;0.8;2.8e-01;*;55664.00;aab+21a;*;*;*;*;
39;J0033+57;hrk+08;00:33;0;hrk+08;+57;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
40;J0033+61;hrk+08;00:33;0;hrk+08;+61;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
41;J0034-0534;bhl+94;00:34:21.83422;8.0e-05;dcl+16;-05:34:36.722;3.0e-03;dcl+16;7.9;3.0e-01;dcl+16;-9.2;6.0e-01;dcl+16;55000.00;*;ELL1;dcl+16;He[bkb+95];*;
42;J0034-0721;lvw69a;00:34:08.8703;1.0e-04;cbv+09;-07:21:53.409;2.0e-03;cbv+09;10.37;8.0e-02;cbv+09;-11.13;1.6e-01;cbv+09;52275;cbv+09;*;*;*;*;
43;J0034+69;slr+14;00:34;3.0e+00;slr+14;+69:43;1.8e+01;slr+14;*;0;*;*;0;*;56292.00;*;*;*;*;*;
44;J0036-1033;sbs+21;00:36:15.01;4.0e-02;sbs+21;-10:33:14.2;9.0e-01;sbs+21;*;0;*;*;0;*;58774.00;*;*;*;*;*;
45;J0038-2501;acd+19;00:38:10.264;1.0e-02;acd+19;-25:01:30.73;2.0e-02;acd+19;*;0;*;*;0;*;57474.00;*;*;*;*;*;
46;J0039+35;scb+19;00:39:06;1.2e+01;scb+19;+35:45;3.0e+00;scb+19;*;0;*;*;0;*;*;*;*;*;*;*;
47;J0040+5716;dtws85;00:40:32.3899;1.0e-04;dgb+19;+57:16:24.833;1.0e-03;dgb+19;12.39;5.0e-02;dgb+19;-5.4;1.0e-01;dgb+19;56000.00;dgb+19;*;*;*;*;
48;J0043-73;tsm+19;00:43:25;9.5e+01;tsm+19;-73:11;7.0e+00;tsm+19;*;0;*;*;0;*;57990.69;*;*;*;*;*;
49;J0045-7042;mfl+06;00:45:25.69;1.7e-01;mfl+06;-70:42:07.1;1.3e+00;mfl+06;*;0;*;*;0;*;52407.00;*;*;*;*;*;
50;J0045-7319;mmh+91;00:45:35.16;7.0e-02;kbm+96;-73:19:03.0;2.0e-01;kbm+96;*;0;*;*;0;*;49144.00;*;BT;kbm+96;MS[bbs+95];*;
51;J0048+3412;dtws85;00:48:33.98;2.1e-02;hlk+04;+34:12:08.0;3.7e-01;hlk+04;*;0;*;*;0;*;49875.00;hlk+04;*;*;*;*;
52;J0050+03;dsm+16;00:50:31;1.1e+02;dsm+16;+03:48;8.0e+00;dsm+16;*;0;*;*;0;*;57022.00;*;*;*;*;*;
53;J0051+0423;snt97;00:51:30.1;2.0e-01;snt97;+04:22:49;6.0e+00;snt97;*;0;*;*;0;*;49800.00;*;*;*;*;*;
54;J0052-72;tsm+19;00:52:28;9.5e+01;tsm+19;-72:05;7.0e+00;tsm+19;*;0;*;*;0;*;58008.54;*;*;*;*;*;
55;J0054+66;hrk+08;00:54;0;hrk+08;+66;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
56;J0054+69;kkl+15;00:54:28;2.5e+01;kkl+15;+69:26;2.0e+00;kkl+15;*;0;*;*;0;*;*;*;*;*;*;*;
57;J0054+6946;slr+14;00:54:59.116;6.8e-03;lsk+18;+69:46:16.85;3.5e-02;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
58;J0055+5117;dtws85;00:55:45.3981;1.0e-04;dgb+19;+51:17:24.601;1.0e-03;dgb+19;10.47;7.0e-02;dgb+19;-17.4;1.0e-01;dgb+19;56000.00;dgb+19;*;*;*;*;
59;J0056+4756;dtws85;00:56:25.51;1.9e-02;hlk+04;+47:56:10.5;2.3e-01;hlk+04;*;0;*;*;0;*;49872.00;hlk+04;*;*;*;*;
