1;J0002+6216;00:02:58.1;+62:16:09.4;
2;J0006+1834;00:06:04.8;+18:34:59;
3;J0007+7303;00:07:01.7;+73:03:07.4;
4;J0011+08;00:11:34;+08:10;
5;J0014+4746;00:14:17.7;+47:46:33.4;
6;J0021-0909;00:21:51.4;-09:09:58.7;
7;J0023+0923;00:23:16.8;+09:23:23.8;
8;J0024-7204aa;00:24:05.6;-72:04:52.6;
9;J0024-7204ab;00:24:08.1;-72:04:47.6;
10;J0024-7204ac;00:24:05.6;-72:04:05;
11;J0024-7204ad;00:24:05.6;-72:04:05;
12;J0024-7204C;00:23:50.3;-72:04:31.5;
13;J0024-7204D;00:24:13.8;-72:04:43.8;
14;J0024-7204E;00:24:11.1;-72:05:20.1;
15;J0024-7204F;00:24:03.8;-72:04:42.8;
16;J0024-7204G;00:24:07.9;-72:04:39.7;
17;J0024-7204H;00:24:06.7;-72:04:06.8;
18;J0024-7204I;00:24:07.9;-72:04:39.6;
19;J0024-7204J;00:23:59.4;-72:03:58.7;
20;J0024-7204L;00:24:03.7;-72:04:56.9;
21;J0024-7204M;00:23:54.4;-72:05:30.7;
22;J0024-7204N;00:24:09.1;-72:04:28.8;
23;J0024-7204O;00:24:04.6;-72:04:53.7;
24;J0024-7204P;00:24:20;-72:04:10;
25;J0024-7204Q;00:24:16.4;-72:04:25.1;
26;J0024-7204R;00:24:07.5;-72:04:50.3;
27;J0024-7204S;00:24:03.9;-72:04:42.3;
28;J0024-7204T;00:24:08.5;-72:04:38.9;
29;J0024-7204U;00:24:09.8;-72:03:59.6;
30;J0024-7204V;00:24:05.6;-72:04:52.6;
31;J0024-7204W;00:24:06.0;-72:04:49.0;
32;J0024-7204X;00:24:22.3;-72:01:17.4;
33;J0024-7204Y;00:24:01.4;-72:04:41.8;
34;J0024-7204Z;00:24:06.0;-72:05:01.4;
35;J0025-19;00:25;-19;
36;J0026+6320;00:26:50.5;+63:20:00.8;
37;J0030+0451;00:30:27.4;+04:51:39.7;
38;J0033+57;00:33;+57;
39;J0033+61;00:33;+61;
40;J0034-0534;00:34:21.8;-05:34:36.7;
41;J0034-0721;00:34:08.8;-07:21:53.4;
42;J0034+69;00:34;+69:43;
43;J0038-2501;00:38:10.2;-25:01:30.7;
44;J0039+35;00:39:06;+35:45;
45;J0040+5716;00:40:32.3;+57:16:24.8;
46;J0043-73;00:43:25;-73:11;
47;J0045-7042;00:45:25.6;-70:42:07.1;
48;J0045-7319;00:45:35.1;-73:19:03.0;
49;J0048+3412;00:48:33.9;+34:12:08.0;
50;J0050+03;00:50:31;+03:48;
51;J0051+0423;00:51:30.1;+04:22:49;
52;J0052-72;00:52:28;-72:05;
53;J0054+66;00:54;+66;
54;J0054+69;00:54:28;+69:26;
