Companion Pulsar,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
J0024-7204aa,1636148068921376768,Gaia DR3 4689639266848574080,4689639266848574080,1386872744,2016.0,6.023128743364097,0.20993347465991974,-72.08127489997942,0.21329054236412048,,,,,,,,,-0.07384125888347626,,,,,,,,,,67,0,67,0,58.87802505493164,5730.55078125,0.8937711715698242,318.2851867675781,3,False,,,,,,,,,9,7,0.5804927945137024,12,12,0,0.11387115716934204,57.78779983520508,70,0,,0.34100571274757385,0.2026689201593399,0.39897051453590393,0.5186771154403687,26.228193283081055,81.47382354736328,57.46247100830078,-1.7314668893814087,False,59,104513.16861509938,927.8367919921875,112.64176177978516,13.139439582824707,4,173786.90584352237,2403.571533203125,72.3036117553711,12.238499641418457,4,263634.2489526679,10716.2099609375,24.601444244384766,11.195390701293945,4.185320854187012,0,4,0,4,0,1.0431089401245117,-0.90093994140625,1.9440488815307617,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.895020717824,-44.8893154424269,311.2522960531841,-62.35264196356786,False,False,0,False,False,False,False,False,False,False,False,6.846634370560878e-09,2.940191912159662e-08,0.9999966025352478,,,,,,,,,,,,,,,,,,,,,,,5.9427316428134236e-05
J0024-7204ac,1636148068921376768,Gaia DR3 4689639473004141184,4689639473004141184,976488890,2016.0,6.024104925081358,0.5307380557060242,-72.06801606152692,0.5331627726554871,,,,,,,,,0.3744458854198456,,,,,,,,,,87,0,87,0,102.22265625,20687.8515625,2.9144835472106934,616.0413818359375,3,False,,,,,,,,,11,9,1.328680396080017,21,15,0,0.1333637535572052,67.35143280029297,57,0,,0.12871360778808594,0.33298102021217346,0.2918528616428375,0.1208999827504158,-67.6115493774414,-57.652957916259766,32.83130645751953,17.456451416015625,False,85,14061.370360681456,168.03636169433594,83.6805191040039,15.31729793548584,9,20823.375763078708,1479.2235107421875,14.077234268188477,14.54216480255127,9,27763.949673476276,1010.5597534179688,27.473833084106445,13.639192581176758,3.455376386642456,0,9,0,9,0,0.9029722213745117,-0.7751331329345703,1.678105354309082,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.89740024006437,-44.9024701265483,311.2769877162432,-62.345965098427655,False,False,0,False,False,False,False,False,False,False,False,0.0004483040829654783,0.013163972645998001,0.9863877296447754,,,,,,,,,,,,,,,,,,,,,,,0.0002439958170796338
J0024-7204ad,1636148068921376768,Gaia DR3 4689639473004141184,4689639473004141184,976488890,2016.0,6.024104925081358,0.5307380557060242,-72.06801606152692,0.5331627726554871,,,,,,,,,0.3744458854198456,,,,,,,,,,87,0,87,0,102.22265625,20687.8515625,2.9144835472106934,616.0413818359375,3,False,,,,,,,,,11,9,1.328680396080017,21,15,0,0.1333637535572052,67.35143280029297,57,0,,0.12871360778808594,0.33298102021217346,0.2918528616428375,0.1208999827504158,-67.6115493774414,-57.652957916259766,32.83130645751953,17.456451416015625,False,85,14061.370360681456,168.03636169433594,83.6805191040039,15.31729793548584,9,20823.375763078708,1479.2235107421875,14.077234268188477,14.54216480255127,9,27763.949673476276,1010.5597534179688,27.473833084106445,13.639192581176758,3.455376386642456,0,9,0,9,0,0.9029722213745117,-0.7751331329345703,1.678105354309082,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.89740024006437,-44.9024701265483,311.2769877162432,-62.345965098427655,False,False,0,False,False,False,False,False,False,False,False,0.0004483040829654783,0.013163972645998001,0.9863877296447754,,,,,,,,,,,,,,,,,,,,,,,0.0002439958170796338
J0024-7204C,1636148068921376768,Gaia DR3 4689638064248154240,4689638064248154240,411032629,2016.0,5.960403740672885,43.58396530151367,-72.07517791487159,73.64408111572266,,,,,,,,,0.3949248194694519,,,,,,,,,,48,0,48,0,422.73223876953125,1329263.25,171.86521911621094,143333.5,3,False,,,,,,,,,6,5,31.538349151611328,6,2,0,0.21980388462543488,21.061569213867188,16,16,,0.15384329855442047,0.3281300961971283,0.3961697220802307,0.6914988160133362,118.9472885131836,-77.21686553955078,27.165502548217773,-43.95054244995117,False,35,2731.6663082015093,37.7116813659668,72.435546875,17.096298217773438,2,6078.366060343639,647.9795532226562,9.38049030303955,15.879075050354004,2,6615.706590475014,111.37528228759766,59.40013122558594,15.196455001831055,4.647006988525391,0,2,0,2,0,0.6826200485229492,-1.2172231674194336,1.8998432159423828,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.9232491374621,-44.89244378597212,311.24173833761307,-62.33300248101193,False,True,0,False,False,False,False,False,False,False,False,0.07399622350931168,0.9156616926193237,0.0,,,,,,,,,,,,,,,,,,,,,,,0.00034874715434346797
J0024-7204D,1636148068921376768,Gaia DR3 4689639301203685888,4689639301203685888,1470788328,2016.0,6.0567281274352,0.4502269923686981,-72.07879707725034,0.5400652289390564,0.6099366817464894,0.4715258479118347,1.2935380935668945,13.508225440979004,6.673575645513973,0.7774187922477722,-11.744596498540092,0.6485254764556885,0.12700611352920532,0.22986352443695068,-0.5704370737075806,-0.09529229998588562,-0.07072369754314423,-0.40347257256507874,0.6623935699462891,-0.4505167007446289,-0.15693362057209015,-0.21463975310325623,128,0,127,1,47.01353454589844,58586.36328125,2.812983751296997,2530.568115234375,95,False,,2.01273775100708,0.0960179939866066,-0.04826001450419426,-0.2523965537548065,-0.15251344442367554,0.20040249824523926,-0.12796282768249512,15,11,1.1908531188964844,19,14,1,0.07423486560583115,22.87908363342285,56,0,5.229772567749023,0.02288883551955223,0.0467417947947979,0.07771127671003342,0.3135696053504944,58.30365753173828,-49.78529357910156,-9.023300170898438,-22.060216903686523,False,93,60058.35285875391,551.40771484375,108.91822814941406,13.740933418273926,8,61239.93101461995,2207.7294921875,27.738874435424805,13.370955467224121,8,86872.43949207109,2447.85546875,35.48920440673828,12.400690078735352,2.4661409854888916,0,8,0,8,0,0.9702653884887695,-0.3699779510498047,1.3402433395385742,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.8811130484171,-44.89330769056964,311.26849387391906,-62.36016105661894,False,False,0,False,False,False,False,False,False,True,False,2.43443287750722e-09,1.8817013369698543e-07,0.9999998211860657,,,,,,,,,,,,,,,,,,,,,,,0.000236489468560578
J0024-7204D,1636148068921376768,Gaia DR3 4689639301203689600,4689639301203689600,833525985,2016.0,6.057976068440277,0.0746576339006424,-72.07830167416878,0.09184299409389496,0.09467007202811684,0.09136372059583664,1.0361888408660889,6.392055034637451,4.996413010201423,0.10014179348945618,-3.986755940209999,0.11511912196874619,-0.07038890570402145,0.20296023786067963,-0.4847649931907654,0.23419183492660522,-0.18236516416072845,0.17038127779960632,-0.1762223094701767,-0.24886773526668549,-0.11938603967428207,-0.393339067697525,116,0,116,0,23.727210998535156,1058.0435791015625,0.5132109522819519,55.83877182006836,95,False,,1.4739950895309448,0.027211852371692657,0.3026365041732788,0.16940687596797943,0.3016084134578705,-0.21136611700057983,0.0859442800283432,14,13,0.18140573799610138,22,19,0,0.02443995326757431,17.179874420166016,55,6,2.966217279434204,0.317641019821167,0.24383023381233215,0.15209440886974335,0.2936738133430481,19.232410430908203,89.092041015625,47.66436767578125,-41.329200744628906,False,68,54569.12996071681,154.0169677734375,354.30596923828125,13.844999313354492,11,44431.85784006291,2469.6435546875,17.99120330810547,13.719305992126465,11,74553.38159355172,2635.49560546875,28.288183212280273,12.566726684570312,2.1804497241973877,6,5,4,7,0,1.1525793075561523,-0.12569332122802734,1.2782726287841797,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.8806810753663,-44.893854718015156,311.2698368929788,-62.36022964599826,False,False,0,False,False,False,False,False,False,True,False,6.019970633097671e-10,2.7851898565245392e-08,1.0,,,,,,,,,,,,,,,,,,,,,,,0.000550561816147857
J0024-7204F,1636148068921376768,Gaia DR3 4689639473003162368,4689639473003162368,1653402793,2016.0,6.015884221767463,0.16049493849277496,-72.07907637595625,0.1356787532567978,-0.8473200816737304,0.1531694233417511,-5.531914234161377,8.563044548034668,7.301293810782303,0.19539889693260193,-4.474018643168442,0.17686054110527039,-0.16508257389068604,-0.008737385272979736,-0.4134938418865204,0.2680549919605255,-0.003428991185501218,0.29600661993026733,0.13141828775405884,0.21486955881118774,-0.16050955653190613,-0.1904878467321396,198,191,190,8,48.085113525390625,31669.779296875,1.2544173002243042,1506.97119140625,95,False,,1.318221926689148,0.04148336127400398,0.10558340698480606,0.1984170526266098,-0.0931548997759819,0.17584799230098724,-0.023818261921405792,23,18,0.2984623312950134,32,13,2,0.16192355751991272,177.2533416748047,58,0,4.362486362457275,,,,,,,,,False,155,439189.0911954912,1609.2001953125,272.923828125,11.580738067626953,22,254629.06580592823,2557.719482421875,99.55316162109375,11.823772430419922,20,550528.6885806919,1365.760009765625,403.0932922363281,10.39594554901123,1.833282709121704,0,22,0,20,0,1.4278268814086914,0.24303436279296875,1.1847925186157227,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.89859590200234,-44.891155729086876,311.25382347971987,-62.34959242130634,False,False,0,True,True,False,False,False,False,True,False,3.099884793300589e-10,9.10650399532642e-09,0.9999996423721313,,,,,,,,,,,,,,,,,,,,,,,0.0005231068174154432
J0024-7204H,1636148068921376768,Gaia DR3 4689639472995378176,4689639472995378176,288423554,2016.0,6.027419654686818,0.14257723093032837,-72.06892827484839,0.06789057701826096,,,,,,,,,0.7703697681427002,,,,,,,,,,42,31,42,0,6.922674655914307,132.64581298828125,0.17636945843696594,11.118598937988281,3,False,,,,,,,,,7,5,0.26531070470809937,10,4,3,0.01296272873878479,2.808223247528076,32,22,,,,,,,,,,False,26,127857.08845438424,504.3161315917969,253.5256805419922,12.920555114746094,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.89578308729364,-44.90172074413609,311.2764625708715,-62.3473120317594,False,False,0,False,False,False,False,False,False,False,False,3.0758837699096375e-09,2.8461164536253136e-09,0.9998137950897217,,,,,,,,,,,,,,,,,,,,,,,0.00040337691144290877
J0024-7204H,1636148068921376768,Gaia DR3 4689639473007316992,4689639473007316992,1725198692,2016.0,6.029048525209527,0.9108042120933533,-72.06877024646214,0.4874586760997772,,,,,,,,,0.2696612775325775,,,,,,,,,,50,0,49,1,14.741403579711914,374.9617614746094,1.295648217201233,41.263877868652344,3,False,,,,,,,,,8,7,1.8030598163604736,13,13,0,0.10415398329496384,3.730370044708252,60,16,,0.3511011302471161,0.48398318886756897,0.2912656366825104,0.2654007375240326,-12.722057342529297,61.64469528198242,26.000076293945312,-8.38627815246582,False,63,8304.66771850411,114.35942840576172,72.61900329589844,15.889060974121094,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.8951163849971,-44.901951946321155,311.2773179023356,-62.3476568211826,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004133138291849528
J0024-7204J,1636148068921376768,Gaia DR3 4689639537419422848,4689639537419422848,939971413,2016.0,5.996517058428933,0.07493206113576889,-72.06659358056072,0.06702902913093567,0.17697287745273105,0.07195712625980377,2.459421157836914,5.77498722076416,5.182653373965682,0.09654045850038528,-2.5476619487438388,0.09355373680591583,0.1684192270040512,0.1489010751247406,-0.2597486674785614,0.19040507078170776,0.17382493615150452,0.2253788411617279,0.23256056010723114,0.1882174015045166,0.15630367398262024,0.2768874168395996,127,47,127,0,23.85284423828125,2023.23486328125,0.49522775411605835,122.21600341796875,95,False,,1.4348982572555542,0.01573469117283821,0.005942932330071926,-0.17086897790431976,-0.13048115372657776,0.00898840744048357,-0.11676496267318726,18,13,0.15057936310768127,25,9,0,0.020658737048506737,16.362186431884766,51,0,2.8717610836029053,,,,,,,,,False,103,126521.86876662298,228.58074951171875,553.5106201171875,12.931952476501465,21,66494.75634513794,1158.6309814453125,57.39079666137695,13.281573295593262,20,123722.5552964101,1479.5823974609375,83.61991882324219,12.016773223876953,1.5034343004226685,4,15,6,14,0,1.2648000717163086,0.3496208190917969,0.9151792526245117,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,305.9095581323365,-44.90260372010573,311.27002520289744,-62.33798193209205,False,False,0,False,False,False,False,False,True,True,False,1.0204576577190275e-13,4.783088369819666e-10,0.9999977946281433,5097.94970703125,5065.7666015625,5126.8349609375,2.679800033569336,2.5820999145507812,2.767899990081787,-0.7732999920845032,-0.8378999829292297,-0.7017999887466431,2277.62744140625,2074.500732421875,2530.093017578125,0.7289000153541565,0.7013000249862671,0.7545999884605408,0.5770999789237976,0.5547999739646912,0.5981000065803528,0.31189998984336853,0.299699991941452,0.32350000739097595,MARCS,0.00041660691230733523
