"Companion Pulsar" source_id psr_present
J0212+5320 455282205716288384 n
J1036-4353 5367876720979404288 n
J1306-40 6140785016794586752 n
J1628-3205 6025344817107454464 n
J1803-6707 6436867623955512064 n
J1908+2105 4519819661567533696 n
J1910-5320 6644467032871428992 n
J1957+2516 1834595731470345472 n
J2039-5618 6469722508861870080 n
J2215+5135 2001168543319218048 n
J0407.7-5702 4682464743003293312 n
J0427.9-6704 4656677385699742208 n
J0523-2529 2957031626919939456 n
J0838.8-2829 5645504747023158400 n
J0846.0+2820 705098703608575744 n
J0935.3+0901 588191888537402112 n
J0940.3-7610 5203822684102798592 n
J0954.8-3948 5419965878188457984 n
J1417.5-4402 6096705840454620800 n
J1544-1128 6268529198286308224 n
J2333.1-5527 6496325574947304448 n
J1311-3430 6179115508262195200 n
J1555-2908 6041127310076589056 n
J1810+1744 4526229058440076288 n
J1928+1245 4316237348443952128 n
J0336.0+7505 544927450310303104 n
J0935.3+0901 588191888537402112 n
J1406+1222 1226507282368609152 n
