1;J0045-7319;00:45:35.1;-73:19:03.0;*;*;49144.00;
2;J0337+1715;03:37:43.8;+17:15:14.8;4.810;-4.420;55920.00;
3;J0348+0432;03:48:43.6;+04:32:11.4;4.040;3.500;56000.00;
4;J0437-4715;04:37:15.8;-47:15:09.1;121.439;-71.475;54500.00;
5;J1012+5307;10:12:33.4;+53:07:02.2;2.638;-25.538;55566.00;
6;J1023+0038;10:23:47.6;+00:38:40.8;4.760;-17.340;55000.00;
7;J1024-0719;10:24:38.6;-07:19:19.5;-35.278;-48.235;55614.00;
8;J1048+2339;10:48:43.4;+23:39:53.4;-18.700;-9.400;56700.00;
9;J1227-4853;12:27:58.7;-48:53:42.7;-18.730;7.390;56707.98;
10;J1302-6350;13:02:47.6;-63:50:08.6;-7.010;-0.530;57000.00;
11;J1311-3430;13:11:45.7;-34:30:30.3;*;*;55266.91;
12;J1417-4402;14:17:30.6;-44:02:57.4;-4.700;-5.100;57022.00;
13;J1431-4715;14:31:44.6;-47:15:27.5;-12.010;14.510;55756.10;
14;J1628-3205;16:28:07.0;-32:05:48.9;*;*;55561.00;
15;J1723-2837;17:23:23.1;-28:37:57.1;-11.713;-23.990;55667.00;
16;J1732-5049;17:32:47.7;-50:49:00.1;-0.505;-9.867;54404.00;
17;J1747-4036;17:47:48.7;-40:36:54.7;-1.411;-2.269;56952.00;
18;J1810+1744;18:10:37.2;+17:44:37.3;*;*;55196.00;
19;J1816+4510;18:16:35.9;+45:10:33.8;5.300;-3.000;56047.00;
20;J1843-1113;18:43:41.2;-11:13:31.0;-1.910;-3.200;55000.00;
21;J1910+1256;19:10:09.7;+12:56:25.4;0.259;-7.139;56398.00;
22;J1949+3106;19:49:29.6;+31:06:03.8;-2.894;-5.093;56000.00;
23;J1957+2516;19:57:34.6;+25:16:02.0;*;*;56408.00;
24;J2032+4127;20:32:13.1;+41:27:24.3;-2.991;-0.742;55700.00;
25;J2129-0429;21:29:45.0;-04:29:05.5;12.340;10.190;55196.00;
26;J2215+5135;22:15:32.6;+51:35:36.3;*;*;55610.00;
27;J2339-0533;23:39:38.7;-05:33:05.3;4.150;-10.310;55100.00;
