Companion Pulsar,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,dist
J0337+1715,1.63572E+18,Gaia DR2 44308738051547264,4.43087E+16,786479877,2015.5,54.43261256,0.184523937,17.25411606,0.191883838,0.73384315,0.248444384,2.953752279,4.813771407,0.498024673,-4.42,0.427707952,0.513492703,-0.199548945,0.103124969,0.129792124,-0.606842577,0.189192235,0.298389971,-0.123033211,-0.139471561,0.64783287,139,0,134,5,3.066129208,183.9367828,0.313069496,0.699394393,31,FALSE,0.780844808,1.780666961,0.044334798,0.139949366,16,8,0.530317366,0,22,FALSE,187,1106.936803,2.787944573,397.0440369,18.07805824,19,848.8290558,25.66177197,33.07756805,18.02933693,18,483.677264,9.084669913,53.24103928,18.05053139,1.203778148,0,-0.021194458,-0.048721313,0.027526855,,,0,,,,NOT_AVAILABLE,169.9896886,-30.03948427,56.22987233,-2.112928181,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+44308738051547264,8.88744E-06
J0348+0432,1.63572E+18,Gaia DR2 3273288485744249344,3.27329E+18,102654852,2015.5,57.18183252,0.877972712,4.536516264,0.558370467,0.558370467,1.021814536,-1.954063773,3.148466551,2.059823501,-0.106603453,1.455707117,0.190031633,0.098277494,-0.448942035,-0.106326684,-0.008899389,0.047689628,0.071895704,0.313064724,-0.073096596,0.423568964,191,0,191,0,-1.358154655,160.410553,0,0,31,FALSE,0.028211439,1.487138444,0.185090341,-0.074018456,23,10,1.974406004,0,32,FALSE,255,104.6831772,0.876615787,119.4173965,20.63867378,23,65.53752832,6.434594444,10.18518353,20.8101635,23,61.26467552,7.651436684,8.006950378,20.29389381,1.211295009,0,0.516269684,0.171489716,0.344779968,,,0,,,,NOT_AVAILABLE,183.3368389,-36.77362489,55.97015767,-15.11010284,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3273288485744249344,7.10191E-06
J0437-4715,1.63572E+18,Gaia DR2 4789864076732331648,4.78986E+18,526469615,2015.5,69.31660276,0.582326756,-47.25267778,0.738504992,8.325044168,0.677716044,12.28397083,122.8637296,1.197017697,-71.16597382,1.669768175,-0.107198648,0.30817017,-0.135297373,0.356960386,0.247676954,0.401707411,-0.290111661,0.164773494,0.040686335,-0.481580615,168,0,167,1,0.30433777,166.8592072,0,0,31,FALSE,0.036737029,1.676063374,0.183407835,-0.045911558,20,16,1.628569484,0,21,FALSE,178,129.2994962,1.076756097,120.0824356,20.40937424,16,54.59060883,6.523782872,8.367938042,21.00859261,21,132.0143904,8.906934103,14.82153034,19.4603672,1.443199754,0,1.548225403,0.599218369,0.949007034,,,0,,,,NOT_AVAILABLE,253.3946297,-41.96313675,50.46873937,-67.87315632,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4789864076732331648,7.96112E-05
J1012+5307,1.63572E+18,Gaia DR2 851610861391010944,8.51611E+17,485068612,2015.5,153.1393303,0.241174616,53.11726303,0.302546482,1.32587877,0.414193189,3.201112032,2.976959985,0.526105044,-26.94384758,0.632023953,-0.051121693,-0.126572505,-0.012555726,-0.032410998,-0.150047734,-0.134688884,-0.178376332,0.310242325,-0.245766982,-0.045818694,280,0,279,1,-0.298736036,266.4112549,0,0,31,FALSE,0.106407844,1.708211111,0.084535055,0.003723455,32,16,0.565928102,0,35,FALSE,297,266.1406803,1.03812713,256.3661804,19.62558746,29,187.6084261,8.60580432,21.80022049,19.66825676,27,140.3311522,8.210140545,17.09241867,19.39403534,1.232203841,0,0.27422142,0.042669296,0.231552124,,,0,,,,NOT_AVAILABLE,160.347199,50.85785533,133.3611331,38.75528668,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+851610861391010944,4.276E-06
J1023+0038,1.63572E+18,Gaia DR2 3831382647922429952,3.83138E+18,1519454534,2015.5,155.9487039,0.118238649,0.644649471,0.072996432,0.728369856,0.14258992,5.108144283,4.750943629,0.135439373,-17.3477173,0.135257817,-0.390902817,-0.827137709,-0.391565979,0.418583363,0.324503273,0.07022427,-0.262162715,0.311012,-0.532283187,-0.205331728,92,0,92,0,0.563376307,93.9416275,0,0,31,FALSE,6.009623528,1.616961521,0.019764099,-0.097216643,11,8,0.179876104,0,13,FALSE,110,5879.120993,134.3626353,43.75562286,16.26508522,11,3285.899953,227.7753552,14.42605591,16.55975151,12,3901.756396,273.036787,14.29022217,15.78376961,1.22257328,0,0.775981903,0.29466629,0.481315613,,,0,,,,NOT_AVAILABLE,243.4895883,45.78224597,157.4921106,-8.730255521,100001,5908.502441,5629,6259.689941,0.028999999,0,0.164100006,0.0125,0,0.077699997,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3831382647922429952,8.01558E-06
J1048+2339,1.63572E+18,Gaia DR2 3990037124929068032,3.99004E+18,1096238591,2015.5,162.1809022,0.474877643,23.66483257,0.677254891,0.959433812,0.80850943,1.186669946,-16.27898758,1.006923482,-11.69679588,1.272559051,-0.133388057,-0.288855016,-0.002784349,-0.021140235,-0.657332957,-0.195440754,0.250222862,0.16562745,-0.321276307,-0.533306122,121,0,119,2,1.7205441,141.2327271,0.975585751,1.121630476,31,FALSE,0.093073405,1.633573788,0.130312634,-0.124082446,14,9,1.295392275,0,14,FALSE,122,259.5978964,6.644094702,39.07197571,19.65261269,13,126.3163969,14.54594177,8.683961868,20.09773827,13,282.8952815,22.12841261,12.78425598,18.63285637,1.576328993,0,1.464881897,0.44512558,1.019756317,,,0,,,,NOT_AVAILABLE,213.1721861,62.13949276,154.4515871,14.87881345,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3990037124929068032,7.23341E-06
J1125-6014,1.63572E+18,Gaia DR2 5336020987242787328,5.33602E+18,603949776,2015.5,171.4805879,0.445006646,-60.2352453,0.34408657,-1.019115334,0.504937609,-2.01829958,-6.251933824,1.019075305,-1.2791133,0.686243781,-0.1813941,-0.124324776,-0.384789288,0.08498852,0.242318884,0.046975512,-0.136421159,-0.126917213,0.363933384,-0.426970065,217,0,216,1,3.234477997,283.8501282,1.386759171,2.006342895,31,FALSE,0.074505128,1.374128247,0.1057037,-0.107667059,25,15,0.966004491,0,27,FALSE,233,216.4802625,1.18411437,182.8204041,19.84981918,12,140.5152901,19.1910887,7.321903229,19.98207855,13,231.3498143,15.04356594,15.37865543,18.85124779,1.717778325,0,1.130830765,0.132259369,0.998571396,,,0,,,,NOT_AVAILABLE,292.5044215,0.893707035,209.5043877,-55.65891891,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5336020987242787328,0.0002209
J1227-4853,1.63572E+18,Gaia DR2 6128369984328414336,6.12837E+18,553536950,2015.5,186.994659,0.146120606,-48.89519765,0.078977197,0.623717816,0.1679463,3.713793039,-18.7259565,0.207242543,7.387861014,0.115733356,0.240929887,-0.611395061,-0.451530606,-0.173712641,-0.089864224,-0.081326604,-0.580742478,0.3712264,0.23762767,0.450301379,406,0,405,1,-0.470787078,386.1797485,0,0,31,FALSE,0.993309736,1.576132667,0.026210559,-0.019399695,46,14,0.221073538,0,48,FALSE,424,1109.216515,13.36922634,82.96788788,18.07582474,47,567.4519549,26.66850736,21.2779789,18.46656609,46,828.1096055,24.52313808,33.76850128,17.4666996,1.258150697,0,0.999866486,0.390741348,0.609125137,,,0,,,,NOT_AVAILABLE,298.9653875,13.79579383,209.7647113,-41.26053131,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+6128369984328414336,2.11493E-05
J1302-6350,1.63572E+18,Gaia DR2 5862299960127967488,5.8623E+18,1348611731,2015.5,195.6984908,0.022583801,-63.83573121,0.023648295,0.418114104,0.030804601,13.57310581,-6.986186051,0.043075859,-0.416033108,0.044167426,0.199419349,-0.074416921,-0.384298295,-0.150822982,-0.065982796,-0.144423097,-0.431973398,0.069469951,0.270760328,0.314620018,311,311,306,5,7.866044521,537.2058716,0,0,31,TRUE,266.2858887,1.531165306,0.006027422,-0.023350526,35,19,0.036538571,0,36,TRUE,302,2662535.184,806.6222306,3300.845215,9.625127792,32,1176107.524,1115.451727,1054.377808,10.17527103,33,2164372.559,1741.717139,1242.665894,8.923589706,1.254623771,1,1.251681328,0.550143242,0.701538086,,,0,,,,NOT_AVAILABLE,304.1835458,-0.991582269,227.6978348,-50.89692277,100002,4883.25,4720.817871,5318.370117,,,,,,,200111,36.49964905,30.77155685,39.05459213,682.5082397,602.6296997,762.3867798,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5862299960127967488,8.69555E-06
J1417-4402,1.63572E+18,Gaia DR2 6096705840454620800,6.09671E+18,1540688781,2015.5,214.3773602,0.061422393,-44.04932696,0.046755224,0.220978731,0.071568071,3.087671995,-4.699732751,0.101752813,-5.100427203,0.087793306,0.423025012,-0.608115792,-0.033825833,-0.189860255,-0.547038555,0.064680703,-0.147427529,-0.126505196,0.343432903,-0.067007035,124,0,124,0,-1.730530262,93.67987061,0,0,31,FALSE,11.05677032,1.514227197,0.015041863,0.181095362,14,9,0.096430667,0,17,FALSE,150,9129.069284,69.62264753,131.1221161,15.78729916,17,3831.234605,102.3370085,37.43743134,16.39304161,16,7688.266765,177.3933725,43.34021378,15.04734898,1.26184833,0,1.345692635,0.605742455,0.73995018,,,0,,,,NOT_AVAILABLE,318.8612258,16.14404001,227.5677993,-28.45538866,100001,4990.54248,4763.75,5107.320313,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+6096705840454620800,0.0001195
