Companion Pulsar,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,dist
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266845737344,4689639266845737344,832407135,2015.5,6.025059389453235,13.707308641848655,-72.08440635124357,21.845056520842924,,,,,,,,0.9430858492851257,,,,,,,,,,52,52,44,8,105.31563568115234,27904.2109375,5.390527343455239,6448.333132629668,3,False,0.034303467720746994,,,0.12819330394268036,6,4,30.670656204223633,0,14,False,72,363609.4877862761,2975.95646340833,122.1823959350586,11.78677749633789,12,264077.31748341146,5166.970151062433,51.10873794555664,11.797060012817383,10,462841.7464708715,7238.137579695165,63.94486618041992,10.598339080810547,1.9991751909255981,0,1.198720932006836,0.010282516479492188,1.1884384155273438,,,0,,,,NOT_AVAILABLE,305.89353100869414,-44.88630798534634,311.24721174022824,-62.3547850977312,132001,5143.4501953125,4259.0,7020.66650390625,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266845737344,0.0006905243231846493
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266845709952,4689639266845709952,706289900,2015.5,6.023248233800215,0.14404341101861803,-72.08446684465979,0.14610823293183578,0.30538317854452707,0.21824033713285348,1.3992975950241089,5.4441230463569585,0.3753755380407761,-5.388756563839662,0.13588745381837644,0.4198389947414398,-0.2715844213962555,0.49637722969055176,0.03720774129033089,-0.8344654440879822,0.5719674229621887,0.18547798693180084,-0.6793749928474426,-0.27474942803382874,0.34314125776290894,46,43,46,0,9.146453857421875,190.2540283203125,0.1546777083255872,4.207588436724776,31,False,32.4029655456543,1.5415005889421312,0.021553673691139426,0.08512311428785324,7,6,0.2160847932100296,0,7,False,46,185589.89084255748,756.46989076853,245.3367919921875,12.516980171203613,0,,,,,0,,,,,,2,,,,,,0,,,,NOT_AVAILABLE,305.8942957601747,-44.88616487888679,311.24647302479735,-62.354341728076044,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266845709952,0.0009251905823494231
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266844757632,4689639266844757632,11408482,2015.5,6.021396911785898,0.383402990965564,-72.08384231932662,0.2507659807329045,1.7673726041765003,0.281559225438668,6.277090072631836,9.175270230322427,0.7031853446627649,-3.5821504638685844,0.5089561749871829,0.11457464843988419,0.4804407060146332,-0.41709885001182556,-0.25496187806129456,-0.018067069351673126,-0.27127325534820557,-0.6429513096809387,-0.04815509170293808,-0.05490552634000778,0.1616329550743103,88,88,86,2,53.13458251953125,4376.05322265625,0.7875281636294614,128.62534363152906,31,False,1.4322675466537476,1.3906899682483524,0.05334216144343583,-0.048293713480234146,11,10,0.3729897737503052,0,21,False,98,575908.847858661,1707.72984409043,337.23651123046875,11.287481307983398,14,369754.9021778718,7688.012943253868,48.09498977661133,11.43160343170166,12,721700.4994612136,2585.3041417524096,279.15496826171875,10.11602783203125,1.8951877355575562,0,1.3155755996704102,0.14412212371826172,1.1714534759521484,,,0,,,,NOT_AVAILABLE,305.89522234513953,-44.886697217326436,311.24697896762643,-62.35352978423849,102001,5143.4501953125,4259.0,6911.72021484375,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266844757632,0.001117284325780769
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266844741376,4689639266844741376,1070568446,2015.5,6.021364258343517,0.07217160691330998,-72.08178171514578,0.05154886476600988,0.30301254853531556,0.07688668502438271,3.9410276412963867,5.011712415282747,0.10512221464919902,-2.4191660996605404,0.11534111999287895,0.12406793236732483,0.7231171131134033,0.10546109825372696,-0.1941361129283905,0.2504103481769562,-0.22637596726417542,-0.49412375688552856,-0.09060004353523254,-0.01851509138941765,-0.13277269899845123,112,112,108,4,9.308463096618652,301.3260803222656,0.0561966669065007,0.9524177011353319,31,False,144.49774169921875,1.5029653296671612,0.012460252381976273,-0.05313641577959061,13,10,0.06792663782835007,0,20,False,133,534922.4512953584,800.6103850095465,668.143310546875,11.36763858795166,10,268340.34071749594,6402.201104568111,41.91376495361328,11.77967357635498,12,591877.4465254205,4934.314773983013,119.9512939453125,10.331340789794922,1.608116865158081,1,1.4483327865600586,0.4120349884033203,1.0362977981567383,,,0,,,,NOT_AVAILABLE,305.89567136640295,-44.88873314103185,311.25075340566354,-62.352444106222215,102002,4777.0,4223.5,4959.990234375,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266844741376,0.0022352791115584775
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266845671552,4689639266845671552,681914083,2015.5,6.024249174220235,0.19401712949210312,-72.08594277903539,0.3692973832439055,1.18063688212797,0.3638176849554212,3.245133399963379,6.219146461332981,0.32713689944054425,-0.8353624980454122,0.5457132478341481,-0.3722838759422302,0.6660639047622681,-0.014911034144461155,0.12041052430868149,-0.76230388879776,-0.45177263021469116,-0.6689651608467102,0.32799220085144043,0.38481852412223816,0.6420773863792419,69,69,65,4,17.634702682495117,531.8068237304688,0.4105471744263262,16.94532215328598,31,False,4.784663200378418,1.4634018612652622,0.07023288939492207,-0.4564567506313324,8,7,0.341536283493042,0,14,False,76,363424.55793232744,927.1593509413455,391.97637939453125,11.78732967376709,9,181950.44623122347,1172.406033548394,155.19406127929688,12.201505661010742,10,396913.81952983636,4365.631143057412,90.91785430908203,10.765179634094238,1.5928044319152832,0,1.436326026916504,0.41417598724365234,1.0221500396728516,,,0,,,,NOT_AVAILABLE,305.8935546438228,-44.88475156548447,311.24410790808236,-62.355375600564074,102001,4777.0,4222.0,4956.20751953125,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266845671552,0.0022388774824006626
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266845709696,4689639266845709696,277711450,2015.5,6.0301253494326135,0.23207887821141054,-72.08182759795446,0.14802254027851386,,,,,,,,-0.8749942183494568,,,,,,,,,,30,30,29,1,1.2440457344055176,32.862998962402344,0.0,0.1770609624677922,3,False,264.34405517578125,1.5946671384094464,0.028087120189858504,0.03188101574778557,5,5,0.37906530499458313,0,7,False,36,208243.8319104411,872.5027088102876,238.67413330078125,12.391935348510742,6,177187.99058884097,1908.1510489161385,92.85847473144531,12.230302810668945,5,273847.92394495296,5231.742751561135,52.343536376953125,11.168146133422852,2.165902853012085,0,1.0621566772460938,-0.16163253784179688,1.2237892150878906,,,0,,,,NOT_AVAILABLE,305.891899887519,-44.889090668485515,311.2537054408798,-62.35476598521543,132011,5095.63330078125,4259.0,6938.0,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266845709696,0.002459056955468132
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266844768128,4689639266844768128,1602760628,2015.5,6.028091920566878,0.06158609262464637,-72.08623793315637,0.054192412816297504,,,,,,,,-0.014873258769512177,,,,,,,,,,58,58,58,0,4.3174567222595215,109.94798278808594,0.0,0.0,3,False,255.6090545654297,1.493650966662032,0.012212768909298866,-0.15619109570980072,7,5,0.2390853613615036,0,12,False,58,206399.56180529756,794.6895971164246,259.7235107421875,12.401594161987305,9,147216.24684932185,5344.4797655439925,27.54547691345215,12.431498527526855,8,247750.84321528414,5163.965887754333,47.97685623168945,11.27688217163086,1.9136042594909668,0,1.154616355895996,0.02990436553955078,1.1247119903564453,,,0,,,,NOT_AVAILABLE,305.8918429016692,-44.88463637723307,311.24489684990584,-62.35653758260902,132001,5143.4501953125,4297.5,7020.66650390625,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266844768128,0.002694685573400304
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266844760576,4689639266844760576,668991453,2015.5,6.032724711762455,1.4263328921305898,-72.08551676562689,1.380704962170327,,,,,,,,0.0024744404945522547,,,,,,,,,,73,73,73,0,278.4034729003906,328922.625,7.922541380792918,19541.768887540904,3,False,0.015917016193270683,,,-0.37698736786842346,10,8,3.330799102783203,0,21,False,82,352134.64654640976,547.5231426385077,643.14111328125,11.82159423828125,6,195611.5079887842,5133.307879793842,38.106327056884766,12.122901916503906,5,389007.1971303388,5008.305279952558,77.67242431640625,10.787025451660156,1.660213589668274,0,1.33587646484375,0.30130767822265625,1.0345687866210938,,,0,,,,NOT_AVAILABLE,305.89000625703517,-44.885562296885716,311.2478270856237,-62.357375697810724,132001,5000.0,4335.0,5719.8251953125,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266844760576,0.00298008269335115
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266845827200,4689639266845827200,951985451,2015.5,6.0293966713089855,2.110054486644352,-72.08077542144694,0.8823508618611158,,,,,,,,-0.5074722170829773,,,,,,,,,,30,18,29,1,61.826622009277344,8022.16455078125,2.098410854094879,510.05020924995523,3,False,0.21232512593269348,,,-0.13673646748065948,5,3,7.7787628173828125,0,6,False,38,157969.7829459922,10127.265124838203,15.598464012145996,12.691930770874023,2,167155.36198754222,10334.12739996308,16.17508316040039,12.293587684631348,0,,,,,,0,,-0.3983430862426758,,,,0,,,,NOT_AVAILABLE,305.8924346427262,-44.89009754688167,311.25538611842677,-62.354024910499476,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266845827200,0.0032360689627585633
J0024-7204Z,1635721458409799680,Gaia DR2 4689639266835385728,4689639266835385728,1439402022,2015.5,6.032482881625274,0.05491163551450558,-72.08615788978965,0.05098629466880647,0.18473090281893567,0.0634017917620357,2.913654327392578,6.278116706379485,0.11135186628853985,-2.9798056275652396,0.13082756788680366,-0.07013097405433655,0.43489089608192444,0.0564829483628273,0.1941203624010086,-0.06993424892425537,0.09290824830532074,0.11268194019794464,0.1427799016237259,0.26667118072509766,0.15613196790218353,173,173,162,11,19.501220703125,816.095703125,0.18630918927034645,12.029977333840678,31,False,20.890239715576172,1.3841016078633728,0.013454569433645506,0.004975405987352133,20,17,0.0775122344493866,0,27,False,219,707731.800335744,2976.5493712262614,237.7692108154297,11.06369400024414,18,295177.4233859488,5626.392310520227,52.4630012512207,11.676179885864258,17,851325.4211245244,7233.563816816082,117.69100952148438,9.936680793762207,1.6199679374694824,0,1.7394990921020508,0.6124858856201172,1.1270132064819336,,,0,,,,NOT_AVAILABLE,305.88997495507544,-44.88491725312937,311.2465651000336,-62.35764728683618,102001,4419.0,3945.0,4728.56982421875,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4689639266835385728,0.003354549639964823
