1     J0002+6216    cwp+17     00:02:58.17      2.0e-02  cwp+17     +62:16:09.4      1.0e-01  cwp+17     *              0  *          *              0  *          55806       cwp+17     *       *
2     J0006+1834    cnt96      00:06:04.8       2.0e-01  cn95       +18:34:59        4.0e+00  cn95       *              0  *          *              0  *          49079.50    *          *       *
3     J0011+08      dsm+16     00:11:34         1.1e+02  dsm+16     +08:10           8.0e+00  dsm+16     *              0  *          *              0  *          57022.00    *          *       *
4     J0014+4746    dth78      00:14:17.75      4.0e-02  hlk+04     +47:46:33.4      3.0e-01  hlk+04     19.3     1.8e+00  bfg+03     -19.7    1.5e+00  bfg+03     49664.00    hlk+04     *       *
5     J0023+0923    hrm+11     00:23:16.877498  7.0e-06  aab+21a    +09:23:23.8604   2.3e-04  aab+21a    -12.44   7.0e-02  *          -6.16    1.6e-01  *          56845.00    aab+21a    ELL1    aab+21a 

6     J0024-7204Q   clf+00     00:24:16.4909    1.0e-04  frk+17     -72:04:25.1644   6.0e-04  frk+17     5.2      1.0e-01  frk+17     -2.6     1.0e-01  frk+17     51600       frk+17     ELL1    frk+17 
7     J0024-7204R   clf+00     00:24:07.5851    2.0e-04  frk+17     -72:04:50.3954   5.0e-04  frk+17     4.8      1.0e-01  frk+17     -3.3     2.0e-01  frk+17     51600       frk+17     ELL1    frk+17 
8     J0115+6325    scb+19     01:15:45.87      1.0e-02  mbc+20     +63:25:50.8      1.0e-01  mbc+20     *              0  *          *              0  *          57876       mbc+20     *       *
9     J0348+0432    lbr+13     03:48:43.639000  4.0e-06  afw+13     +04:32:11.4580   2.0e-04  afw+13     +4.04    1.6e-01  afw+13     +3.5     6.0e-01  afw+13     56000.00    *          ELL1    afw+13 
10    J1012+5307    nll+95     10:12:33.438448  1.1e-05  aab+21a    +53:07:02.26348  1.3e-04  aab+21a    2.64     3.2e-02  *          -25.54   3.8e-02  *          55566.00    aab+21a    ELL1    aab+21a 

11    J2133-0049E   pqm+21     21:33:27         0.0e+00  har10a     -00:49:24        0.0e+00  har10a     *              0  *          *              0  *          *           *          *       *
